Domain Code,Domain,Area Code,Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.263","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.575","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.752","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.308","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.446","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.778","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.745","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2015","2015","°C","0.734","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.37","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2017","2017","°C","0.896","Fc","Calculated data"
"ET","Temperature change","101","Indonesia","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.808","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.014","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.717","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.599","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.982","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.435","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.897","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.85","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.573","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.243","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.606","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.315","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.084","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.912","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2013","2013","°C","1.092","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.662","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.349","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.367","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.137","Fc","Calculated data"
"ET","Temperature change","120","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.812","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.419","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.593","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.739","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.754","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.654","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.857","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.566","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.598","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.483","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.747","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.978","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.6","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.752","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.962","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.951","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.131","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.566","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.097","Fc","Calculated data"
"ET","Temperature change","131","Malaysia","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.09","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.162","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.607","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.639","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.625","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.577","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.874","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.777","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.434","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.416","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.843","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.158","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.467","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.869","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.943","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.846","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.183","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.344","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.23","Fc","Calculated data"
"ET","Temperature change","28","Myanmar","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.93","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.546","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.666","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.563","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.653","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.543","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.646","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.686","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.752","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.457","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.6","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.92","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.48","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.772","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.872","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.725","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2015","2015","°C","0.985","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.453","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.107","Fc","Calculated data"
"ET","Temperature change","171","Philippines","7271","Temperature change","7020","Meteorological year","2018","2018","°C","1.127","Fc","Calculated data"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2000","2000","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2001","2001","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2002","2002","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2003","2003","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2004","2004","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2005","2005","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2006","2006","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2007","2007","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2008","2008","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2009","2009","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2010","2010","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2011","2011","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2012","2012","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2013","2013","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2014","2014","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2015","2015","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2016","2016","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2017","2017","°C","","NV","Data not available"
"ET","Temperature change","200","Singapore","7271","Temperature change","7020","Meteorological year","2018","2018","°C","","NV","Data not available"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.014","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.623","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.619","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.762","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.497","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.84","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.628","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.497","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.345","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.449","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.248","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.208","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.86","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2013","2013","°C","1.066","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.638","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.17","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.435","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2017","2017","°C","0.997","Fc","Calculated data"
"ET","Temperature change","216","Thailand","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.769","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2000","2000","°C","","NV","Data not available"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2001","2001","°C","","NV","Data not available"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2002","2002","°C","","NV","Data not available"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2003","2003","°C","0.56","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.617","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2005","2005","°C","1.248","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.313","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.587","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.311","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.728","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2010","2010","°C","0.944","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2011","2011","°C","-0.014","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2012","2012","°C","","NV","Data not available"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.515","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.6","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2015","2015","°C","0.752","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.913","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.215","Fc","Calculated data"
"ET","Temperature change","176","Timor-Leste","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.913","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2000","2000","°C","0.135","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2001","2001","°C","0.69","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2002","2002","°C","0.695","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2003","2003","°C","1.046","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2004","2004","°C","0.408","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2005","2005","°C","0.826","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2006","2006","°C","0.88","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2007","2007","°C","0.516","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2008","2008","°C","0.206","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2009","2009","°C","0.682","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2010","2010","°C","1.105","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2011","2011","°C","0.129","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2012","2012","°C","0.754","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2013","2013","°C","0.926","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2014","2014","°C","0.567","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2015","2015","°C","1.29","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2016","2016","°C","1.254","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2017","2017","°C","1.211","Fc","Calculated data"
"ET","Temperature change","237","Viet Nam","7271","Temperature change","7020","Meteorological year","2018","2018","°C","0.904","Fc","Calculated data"
