Domain,Area,Element,Item,Year,Price_Unit,Price_Value,Flag,Flag Description
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2002,USD,1567.6,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2002,USD,234.6,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2002,USD,3797.6,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2002,USD,2429.4,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2002,USD,4587.5,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2002,USD,6540.4,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Milk, whole fresh cow",2002,USD,1396.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Onions, shallots, green",2002,USD,3713.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2002,USD,1720.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2003,USD,792.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2003,USD,688.8,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2003,USD,1510.5,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2003,USD,241.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2003,USD,2330.4,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2003,USD,4477.1,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Milk, whole fresh cow",2003,USD,1435.0,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Onions, shallots, green",2003,USD,3610.4,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2003,USD,1722.0,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2004,USD,786.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2004,USD,479.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2004,USD,1556.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2004,USD,218.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2004,USD,2620.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2004,USD,4386.6,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Milk, whole fresh cow",2004,USD,1479.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Onions, shallots, green",2004,USD,3739.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2004,USD,1721.7,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2005,USD,684.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2005,USD,486.7,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2005,USD,1581.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2005,USD,234.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2005,USD,2463.4,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2005,USD,5621.9,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Milk, whole fresh cow",2005,USD,1502.0,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Onions, shallots, green",2005,USD,3875.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2005,USD,1634.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2006,USD,811.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2006,USD,478.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2006,USD,1545.8,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2006,USD,264.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2006,USD,2580.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Milk, whole fresh cow",2006,USD,1573.4,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Onions, shallots, green",2006,USD,4078.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2006,USD,1825.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2007,USD,7406.5,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2007,USD,2755.0,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2007,USD,6461.5,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2007,USD,11593.0,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2008,USD,8270.4,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2008,USD,2920.3,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2008,USD,7215.1,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2008,USD,12945.1,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2009,USD,8141.0,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2009,USD,2874.6,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2009,USD,7102.2,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2009,USD,12742.7,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2010,USD,8621.4,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2010,USD,3044.2,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, duck",2010,USD,7521.3,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2010,USD,13494.5,Ce,Calculated data based on estimated data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2015,USD,865.5,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2015,USD,2552.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2015,USD,1891.0,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2015,USD,909.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2016,USD,1317.6,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2016,USD,789.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2016,USD,2540.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2016,USD,1846.0,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2016,USD,12755.7,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2016,USD,3306.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2016,USD,10084.4,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2016,USD,904.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2017,USD,1187.6,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2017,USD,942.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2017,USD,2159.5,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2017,USD,1616.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2017,USD,10029.8,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2017,USD,3287.7,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2017,USD,10210.8,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2017,USD,905.2,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Bananas,2018,USD,1364.1,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Cassava,2018,USD,1030.5,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Eggs, hen, in shell",2018,USD,2211.0,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),Maize,2018,USD,1816.3,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, cattle",2018,USD,13640.6,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, chicken",2018,USD,3380.5,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Meat, goat",2018,USD,9698.9,,Official data
Producer Prices,Brunei Darussalam,Producer Price (USD/tonne),"Rice, paddy",2018,USD,926.7,,Official data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2000,,74.43,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2000,,117.86,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2000,,77.12,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2000,,25.27,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2000,,41.24,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2000,,95.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2000,,77.64,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2000,,65.36,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2000,,67.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2000,,87.04,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2000,,130.44,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2001,,78.09,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2001,,115.28,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2001,,86.76,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2001,,30.43,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2001,,71.57,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2001,,87.35,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2001,,65.75,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2001,,54.51,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2001,,67.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2001,,78.43,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2001,,132.97,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2002,,73.38,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2002,,112.7,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2002,,77.12,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2002,,21.66,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2002,,42.62,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2002,,85.58,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2002,,63.33,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2002,,57.34,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2002,,67.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2002,,68.99,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2002,,130.02,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2003,,72.33,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2003,,103.23,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2003,,72.3,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2003,,21.66,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2003,,42.78,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2003,,79.88,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2003,,60.13,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2003,,55.05,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2003,,67.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2003,,65.25,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2003,,126.64,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2004,,69.71,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2004,,69.68,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2004,,72.3,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2004,,19.08,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2004,,53.69,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2004,,87.16,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2004,,57.16,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2004,,43.17,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2004,,67.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2004,,65.56,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2004,,122.84,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2005,,59.75,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2005,,69.68,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2005,,72.3,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2005,,20.11,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2005,,65.69,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2005,,80.66,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2005,,72.14,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2005,,64.55,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2005,,67.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2005,,66.91,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2005,,114.82,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2006,,67.61,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2006,,65.38,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2006,,67.48,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2006,,21.66,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2006,,64.47,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2006,,80.66,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2006,,72.14,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2006,,80.56,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2006,,67.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2006,,67.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2006,,122.42,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2007,,73.79,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2007,,71.36,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2007,,73.65,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2007,,23.64,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2007,,69.96,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2007,,81.69,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2007,,75.07,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2007,,85.54,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2007,,73.37,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2007,,73.37,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2007,,133.61,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2008,,77.29,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2008,,74.74,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2008,,77.14,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2008,,24.76,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2008,,73.46,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2008,,81.42,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2008,,78.83,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2008,,89.82,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2008,,76.84,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2008,,76.84,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2008,,139.95,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2009,,77.59,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2009,,75.03,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2009,,77.44,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2009,,24.86,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2009,,74.22,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2009,,82.26,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2009,,79.64,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2009,,90.75,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2009,,77.14,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2009,,77.14,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2009,,140.48,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2010,,79.52,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2010,,76.9,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2010,,79.36,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Maize,2010,,25.48,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, cattle",2010,,73.67,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, chicken",2010,,81.66,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, duck",2010,,79.06,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Meat, goat",2010,,90.09,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Milk, whole fresh cow",2010,,79.06,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Onions, shallots, green",2010,,79.06,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Rice, paddy",2010,,143.98,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Bananas,2011,,86.19,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),Cassava,2011,,83.35,Fc,Calculated data
Producer Prices,Brunei Darussalam,Producer Price Index (2014-2016 = 100),"Eggs, hen, in shell",2011,,86.02,Fc,Calculated data
